match,result,turned_cards,number_of_battles
1097,B,17,4
1098,B,17,4
1099,B,17,4
1100,B,17,4
1101,B,17,4
1102,B,17,4
1103,B,17,4
1104,B,16,3
1105,B,16,3
1106,B,16,3
1107,B,16,3
1108,B,16,3
1109,B,16,3
1110,B,16,3
1111,B,16,3
1112,B,16,3
1113,B,16,3
1114,B,16,3
1115,B,16,3
1116,B,16,3
1117,B,16,3
1118,B,16,3
1119,B,16,3
1120,B,16,3
1121,B,16,3
1122,B,16,3
1123,B,16,3
1124,B,16,3
1125,B,16,3
1126,B,16,3
1127,B,16,3
1128,B,16,3
1129,B,16,3
1130,B,16,3
1131,B,16,3
1132,B,16,3
1133,B,16,3
1134,B,16,3
1135,B,16,3
1136,B,16,3
1137,B,16,3
1138,B,16,3
1139,B,16,3
1140,B,17,3
1141,B,17,3
1142,B,17,3
1143,B,17,4
1144,B,17,4
1145,B,17,4
1146,B,17,4
1147,B,17,4
1148,B,17,4
1149,B,17,4
1150,B,17,4
1151,B,17,4
1152,B,16,4
1153,B,16,4
1154,B,16,4
1155,B,16,4
1156,B,16,4
1157,B,16,4
1158,B,16,4
1159,B,16,4
1160,B,16,4
1161,B,16,4
1162,B,16,4
1163,B,16,4
1164,B,16,4
1165,B,16,4
1166,B,16,4
1167,B,16,4
1168,B,16,4
1169,B,16,4
1170,B,16,3
1171,B,16,3
1172,B,16,3
1173,B,16,3
1174,B,16,3
1175,B,16,3
1176,B,16,3
1177,B,16,3
1178,B,16,3
1179,B,16,3
1180,B,16,3
1181,B,16,3
1182,B,16,3
1183,B,16,3
1184,B,16,3
1185,B,16,3
1186,B,16,3
1187,B,16,3
1188,B,16,3
1189,B,16,3
1190,B,16,3
1191,B,16,3
1192,B,16,3
1193,B,16,3
1194,B,16,4
1195,B,16,4
1196,B,16,4
1197,B,16,4
1198,B,16,4
1199,B,16,4
1200,B,16,4
1201,B,16,4
1202,B,16,4
1203,B,16,4
1204,B,16,4
1205,B,16,4
1206,B,16,4
1207,B,16,4
1208,B,16,4
1209,B,16,4
1210,B,16,4
1211,B,16,4
1212,B,16,4
1213,B,16,4
1214,B,16,4
1215,B,16,4
1216,B,16,4
1217,B,16,4
1218,B,16,4
1219,B,16,4
1220,B,16,4
1221,B,16,4
1222,B,16,4
1223,B,16,4
1224,B,16,4
1225,B,16,4
1226,B,16,4
1227,B,16,4
1228,B,16,4
1229,B,16,4
1230,B,15,3
1231,B,15,3
1232,B,15,3
1233,B,15,3
1234,B,15,3
1235,B,15,3
1236,B,15,3
1237,B,15,3
1238,B,15,3
1239,B,15,3
1240,B,15,3
1241,B,15,3
1242,B,15,3
1243,B,15,3
1244,B,15,3
1245,B,15,3
1246,B,15,3
1247,B,15,3
1248,B,15,3
1249,B,15,3
1250,B,15,3
1251,B,15,3
1252,B,15,3
1253,B,15,3
1254,B,15,3
1255,B,15,3
1256,B,15,3
1257,B,15,3
1258,B,15,3
1259,B,15,3
1260,B,18,4
1261,B,18,4
1262,B,18,4
1263,B,17,3
1264,B,17,3
1265,B,17,3
1266,B,17,3
1267,B,17,3
1268,B,17,3
1269,B,17,3
1270,B,17,3
1271,B,17,3
1272,B,17,3
1273,B,17,3
1274,B,17,3
1275,B,17,3
1276,B,17,3
1277,B,17,3
1278,B,16,2
1279,B,16,2
1280,B,16,2
1281,B,16,2
1282,B,16,2
1283,B,16,2
1284,B,16,2
1285,B,16,2
1286,B,16,2
1287,B,16,2
1288,B,16,2
1289,B,16,2
1290,B,18,4
1291,B,18,4
1292,B,18,4
1293,B,17,3
1294,B,17,3
1295,B,17,3
1296,B,17,3
1297,B,17,3
1298,B,17,3
1299,B,17,3
1300,B,17,3
1301,B,17,3
1302,B,18,4
1303,B,18,4
1304,B,18,4
1305,B,17,4
1306,B,17,4
1307,B,17,4
1308,B,17,4
1309,B,17,4
1310,B,17,4
1311,B,17,4
1312,B,17,4
1313,B,17,4
1314,B,17,3
1315,B,17,3
1316,B,17,3
1317,B,17,4
1318,B,17,4
1319,B,17,4
1320,B,17,4
1321,B,17,4
1322,B,17,4
1323,B,17,4
1324,B,17,4
1325,B,17,4
1326,B,16,3
1327,B,16,3
1328,B,16,3
1329,B,16,3
1330,B,16,3
1331,B,16,3
1332,B,16,3
1333,B,16,3
1334,B,16,3
1335,B,16,3
1336,B,16,3
1337,B,16,3
1338,B,16,3
1339,B,16,3
1340,B,16,3
1341,B,16,3
1342,B,16,3
1343,B,16,3
1344,B,16,3
1345,B,16,3
1346,B,16,3
1347,B,16,3
1348,B,16,3
1349,B,16,3
1350,B,17,3
1351,B,17,3
1352,B,17,3
1353,B,17,3
1354,B,17,3
1355,B,17,3
1356,B,17,3
1357,B,17,3
1358,B,17,3
1359,B,17,4
1360,B,17,4
1361,B,17,4
1362,B,17,4
1363,B,17,4
1364,B,17,4
1365,B,17,4
1366,B,17,4
1367,B,17,4
1368,B,16,3
1369,B,16,3
1370,B,16,3
1371,B,16,3
1372,B,16,3
1373,B,16,3
1374,B,16,3
1375,B,16,3
1376,B,16,3
1377,B,16,3
1378,B,16,3
1379,B,16,3
1380,B,16,2
1381,B,16,2
1382,B,16,2
1383,B,16,2
1384,B,16,2
1385,B,16,2
1386,B,16,2
1387,B,16,2
1388,B,16,2
1389,B,16,2
1390,B,16,2
1391,B,16,2
1392,B,16,3
1393,B,16,3
1394,B,16,3
1395,B,16,3
1396,B,16,3
1397,B,16,3
1398,B,16,3
1399,B,16,3
1400,B,16,3
1401,B,16,3
1402,B,16,3
1403,B,16,3
1404,B,16,3
1405,B,16,3
1406,B,16,3
1407,B,16,3
1408,B,16,3
1409,B,16,3
1410,B,16,3
1411,B,16,3
1412,B,16,3
1413,B,16,3
1414,B,16,3
1415,B,16,3
1416,B,16,3
1417,B,16,3
1418,B,16,3
1419,B,16,3
1420,B,16,3
1421,B,16,3
1422,B,16,3
1423,B,16,3
1424,B,16,3
1425,B,16,3
1426,B,16,3
1427,B,16,3
1428,B,16,3
1429,B,16,3
1430,B,16,3
1431,B,16,3
1432,B,16,3
1433,B,16,3
1434,B,16,3
1435,B,16,3
1436,B,16,3
1437,B,16,3
1438,B,16,3
1439,B,16,3
1440,B,18,4
1441,B,18,4
1442,B,18,4
1443,B,17,3
1444,B,17,3
1445,B,17,3
1446,B,17,3
1447,B,17,3
1448,B,17,3
1449,B,17,3
1450,B,17,3
1451,B,17,3
